date,1. open,2. high,3. low,4. close,5. volume,SMA,RSI,OBV,Real Upper Band,Real Middle Band,Real Lower Band,sentiment,relevance
2000-08-01,,,,,,0.793,44.5973,6637093034.0,0.9046,0.8031,0.7017,,
2000-08-02,,,,,,0.7831,41.3695,6474737672.0,0.9088,0.7999,0.6909,,
2000-08-03,,,,,,0.7727,42.9874,6814635611.0,0.9111,0.797,0.6829,,
2000-08-04,,,,,,0.761,41.9567,6551513748.0,0.9114,0.7917,0.672,,
2000-08-07,,,,,,0.751,43.2795,6738861935.0,0.9047,0.7848,0.665,,
2000-08-08,,,,,,0.7447,41.1342,6562187359.0,0.8979,0.7772,0.6564,,
2000-08-09,,,,,,0.7365,43.0502,6941828538.0,0.8822,0.7686,0.6551,,
2000-08-10,,,,,,0.7301,43.2095,7193543189.0,0.8719,0.7619,0.652,,
2000-08-11,,,,,,0.729,43.5777,7431599427.0,0.8553,0.7544,0.6535,,
2000-08-14,,,,,,0.7258,42.1515,7274939271.0,0.8326,0.746,0.6594,,
2000-08-15,,,,,,0.7222,41.2968,7160738357.0,0.8098,0.7381,0.6664,,
2000-08-16,,,,,,0.7184,46.9628,7304412100.0,0.8026,0.735,0.6673,,
2000-08-17,,,,,,0.7218,54.6241,7575312370.0,0.7881,0.7322,0.6762,,
2000-08-18,,,,,,0.7209,50.7567,7385136180.0,0.776,0.7295,0.6831,,
2000-08-21,,,,,,0.7222,52.0268,7519603514.0,0.7789,0.7309,0.6829,,
2000-08-22,,,,,,0.7269,55.0014,7796406190.0,0.7832,0.7321,0.681,,
2000-08-23,,,,,,0.7337,60.7691,8033269626.0,0.7974,0.7353,0.6732,,
2000-08-24,,,,,,0.7431,64.1672,8344036336.0,0.8137,0.7384,0.663,,
2000-08-25,,,,,,0.7526,65.4216,8678496670.0,0.8345,0.7447,0.655,,
2000-08-28,,,,,,0.7647,67.6026,9037501829.0,0.8553,0.7502,0.6451,,
2000-08-29,,,,,,0.7772,69.4768,9304532496.0,0.8783,0.7576,0.6369,,
2000-08-30,,,,,,0.79,69.9898,9589925581.0,0.8986,0.7668,0.6349,,
2000-08-31,,,,,,0.8042,72.3169,10009522800.0,0.921,0.7765,0.6319,,
